,URL,full_model_name,Parameters,MMLU_average,arc:challenge|25,hellaswag|10,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions
Llama-2-7b-longlora-100k-ft,https://huggingface.co/Yukang/Llama-2-7b-longlora-100k-ft,Yukang/Llama-2-7b-longlora-100k-ft,7.0,0.23476598199748192,0.20051194539249148,0.2568213503286198,0.25,0.17777777777777778,0.18421052631578946,0.28,0.22264150943396227,0.2569444444444444,0.16,0.22,0.23,0.2023121387283237,0.21568627450980393,0.28,0.26382978723404255,0.23684210526315788,0.23448275862068965,0.20899470899470898,0.2698412698412698,0.18,0.17096774193548386,0.18719211822660098,0.31,0.26666666666666666,0.22727272727272727,0.20725388601036268,0.24615384615384617,0.21851851851851853,0.17647058823529413,0.1986754966887417,0.1926605504587156,0.16203703703703703,0.25980392156862747,0.25738396624472576,0.20179372197309417,0.2595419847328244,0.371900826446281,0.24074074074074073,0.22085889570552147,0.3125,0.17475728155339806,0.2948717948717949,0.3,0.23754789272030652,0.24855491329479767,0.2435754189944134,0.25163398692810457,0.19935691318327975,0.2006172839506173,0.23404255319148937,0.25684485006518903,0.16544117647058823,0.2434640522875817,0.23636363636363636,0.20408163265306123,0.24378109452736318,0.28,0.28313253012048195,0.3216374269005848
Llama-2-13b-chat-longlora-32k-sft,https://huggingface.co/Yukang/Llama-2-13b-chat-longlora-32k-sft,Yukang/Llama-2-13b-chat-longlora-32k-sft,13.0,0.2311685755537103,0.20648464163822525,0.2574188408683529,0.22,0.18518518518518517,0.17763157894736842,0.3,0.21509433962264152,0.2569444444444444,0.2,0.26,0.21,0.20809248554913296,0.21568627450980393,0.28,0.26382978723404255,0.23684210526315788,0.2413793103448276,0.20899470899470898,0.2857142857142857,0.18,0.1774193548387097,0.15270935960591134,0.25,0.21818181818181817,0.17676767676767677,0.19689119170984457,0.20256410256410257,0.2111111111111111,0.21008403361344538,0.1986754966887417,0.1926605504587156,0.1527777777777778,0.25,0.270042194092827,0.31390134529147984,0.2595419847328244,0.2396694214876033,0.25925925925925924,0.22085889570552147,0.3125,0.17475728155339806,0.2905982905982906,0.3,0.23754789272030652,0.24855491329479767,0.23798882681564246,0.22549019607843138,0.1864951768488746,0.21604938271604937,0.23404255319148937,0.2457627118644068,0.18382352941176472,0.25,0.21818181818181817,0.18775510204081633,0.24378109452736318,0.28,0.28313253012048195,0.3216374269005848
LongAlpaca-7B,https://huggingface.co/Yukang/LongAlpaca-7B,Yukang/LongAlpaca-7B,7.0,0.2727996026860639,0.40017064846416384,0.49681338378809003,0.22,0.31851851851851853,0.23026315789473684,0.3,0.35094339622641507,0.22916666666666666,0.23,0.36,0.24,0.2658959537572254,0.29411764705882354,0.23,0.2170212765957447,0.23684210526315788,0.2620689655172414,0.25925925925925924,0.1349206349206349,0.22,0.2870967741935484,0.23645320197044334,0.2,0.2787878787878788,0.2828282828282828,0.35751295336787564,0.2923076923076923,0.24074074074074073,0.31092436974789917,0.304635761589404,0.3192660550458716,0.3888888888888889,0.29411764705882354,0.31223628691983124,0.20179372197309417,0.366412213740458,0.23140495867768596,0.24074074074074073,0.24539877300613497,0.17857142857142858,0.32038834951456313,0.31196581196581197,0.38,0.28991060025542786,0.22832369942196531,0.23798882681564246,0.2647058823529412,0.2604501607717042,0.25925925925925924,0.24468085106382978,0.24902216427640156,0.39705882352941174,0.22712418300653595,0.2636363636363636,0.32653061224489793,0.26865671641791045,0.28,0.3192771084337349,0.25146198830409355
vicuna-7b-v1.5-lora-timedial,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-timedial,Charlie911/vicuna-7b-v1.5-lora-timedial,7.0,0.5046584251619526,0.48890784982935154,0.5650268870742879,0.28,0.4888888888888889,0.4934210526315789,0.56,0.5320754716981132,0.5138888888888888,0.36,0.41,0.42,0.47398843930635837,0.18627450980392157,0.65,0.451063829787234,0.2719298245614035,0.4413793103448276,0.29894179894179895,0.3412698412698413,0.33,0.5483870967741935,0.3793103448275862,0.44,0.6242424242424243,0.6212121212121212,0.7150259067357513,0.46153846153846156,0.24814814814814815,0.4495798319327731,0.2781456953642384,0.6862385321100918,0.38425925925925924,0.6764705882352942,0.7215189873417721,0.600896860986547,0.5877862595419847,0.5785123966942148,0.5555555555555556,0.5337423312883436,0.42857142857142855,0.6407766990291263,0.7735042735042735,0.57,0.6807151979565773,0.5375722543352601,0.23798882681564246,0.5686274509803921,0.5884244372990354,0.5432098765432098,0.375886524822695,0.3748370273794003,0.5367647058823529,0.4803921568627451,0.6636363636363637,0.6448979591836734,0.6865671641791045,0.71,0.42771084337349397,0.7017543859649122
vicuna-7b-v1.5-lora-mctaco-modified2,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2,7.0,0.484895905846249,0.386518771331058,0.5488946425014938,0.31,0.45925925925925926,0.4342105263157895,0.52,0.5094339622641509,0.5486111111111112,0.3,0.43,0.38,0.37572254335260113,0.16666666666666666,0.65,0.4297872340425532,0.2807017543859649,0.496551724137931,0.29894179894179895,0.2777777777777778,0.32,0.5548387096774193,0.39408866995073893,0.47,0.6484848484848484,0.6161616161616161,0.6787564766839378,0.45897435897435895,0.24814814814814815,0.41596638655462187,0.2980132450331126,0.6770642201834862,0.38425925925925924,0.6813725490196079,0.6919831223628692,0.5695067264573991,0.5419847328244275,0.5619834710743802,0.5,0.5030674846625767,0.42857142857142855,0.6116504854368932,0.7350427350427351,0.56,0.6807151979565773,0.4913294797687861,0.23798882681564246,0.4738562091503268,0.5627009646302251,0.5555555555555556,0.3475177304964539,0.3650586701434159,0.4889705882352941,0.4624183006535948,0.5909090909090909,0.5673469387755102,0.6616915422885572,0.66,0.3795180722891566,0.695906432748538
vicuna-7b-v1.5-lora-mctaco,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco,Charlie911/vicuna-7b-v1.5-lora-mctaco,7.0,0.49269373965287366,0.4274744027303754,0.5592511451902011,0.23,0.45185185185185184,0.4407894736842105,0.46,0.5433962264150943,0.5486111111111112,0.3,0.39,0.33,0.44508670520231214,0.21568627450980393,0.6,0.4085106382978723,0.3157894736842105,0.45517241379310347,0.30687830687830686,0.29365079365079366,0.37,0.5451612903225806,0.41379310344827586,0.44,0.6606060606060606,0.6161616161616161,0.694300518134715,0.45897435897435895,0.25555555555555554,0.4831932773109244,0.2781456953642384,0.7045871559633028,0.35185185185185186,0.7058823529411765,0.6835443037974683,0.6098654708520179,0.6106870229007634,0.5785123966942148,0.5740740740740741,0.5153374233128835,0.3482142857142857,0.6504854368932039,0.782051282051282,0.54,0.6679438058748404,0.5404624277456648,0.24134078212290502,0.5032679738562091,0.5691318327974276,0.5648148148148148,0.35106382978723405,0.3617992177314211,0.5441176470588235,0.46895424836601307,0.5818181818181818,0.6,0.7064676616915423,0.7,0.39759036144578314,0.6783625730994152
vicuna-7b-v1.5-lora-timedial-unit-080082,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080082,Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080082,7.0,0.5046805507968837,0.4906143344709898,0.5622385978888668,0.29,0.4888888888888889,0.5,0.57,0.5283018867924528,0.5069444444444444,0.33,0.39,0.42,0.48554913294797686,0.18627450980392157,0.62,0.44680851063829785,0.2631578947368421,0.4413793103448276,0.30158730158730157,0.36507936507936506,0.33,0.5483870967741935,0.39408866995073893,0.45,0.6242424242424243,0.6161616161616161,0.7098445595854922,0.47692307692307695,0.25925925925925924,0.4411764705882353,0.271523178807947,0.689908256880734,0.39351851851851855,0.7058823529411765,0.7130801687763713,0.5964125560538116,0.5954198473282443,0.5867768595041323,0.5648148148148148,0.5337423312883436,0.42857142857142855,0.6699029126213593,0.7649572649572649,0.58,0.6819923371647509,0.5346820809248555,0.24581005586592178,0.5620915032679739,0.5916398713826366,0.5432098765432098,0.3723404255319149,0.363754889178618,0.5404411764705882,0.49019607843137253,0.6181818181818182,0.6489795918367347,0.6716417910447762,0.7,0.41566265060240964,0.7076023391812866
vicuna-7b-v1.5-lora-mixed-datasets-time-unit,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mixed-datasets-time-unit,Charlie911/vicuna-7b-v1.5-lora-mixed-datasets-time-unit,7.0,0.495846356793435,0.48208191126279865,0.5653256323441546,0.29,0.45185185185185184,0.47368421052631576,0.5,0.5320754716981132,0.4930555555555556,0.35,0.4,0.47,0.4277456647398844,0.17647058823529413,0.64,0.451063829787234,0.2631578947368421,0.4689655172413793,0.3148148148148148,0.30952380952380953,0.28,0.5548387096774193,0.3399014778325123,0.44,0.6121212121212121,0.6161616161616161,0.694300518134715,0.44871794871794873,0.26296296296296295,0.4789915966386555,0.304635761589404,0.689908256880734,0.4074074074074074,0.6519607843137255,0.6962025316455697,0.5829596412556054,0.6030534351145038,0.5785123966942148,0.5462962962962963,0.50920245398773,0.38392857142857145,0.6699029126213593,0.7521367521367521,0.55,0.6794380587484036,0.5086705202312138,0.2636871508379888,0.5784313725490197,0.5884244372990354,0.5339506172839507,0.3900709219858156,0.363754889178618,0.5514705882352942,0.4673202614379085,0.5818181818181818,0.6204081632653061,0.6616915422885572,0.69,0.42168674698795183,0.695906432748538
vicuna-7b-v1.5-lora-mctaco-modified4,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified4,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified4,7.0,0.47257011498639423,0.3643344709897611,0.5421230830511851,0.31,0.43703703703703706,0.39473684210526316,0.52,0.47547169811320755,0.4791666666666667,0.29,0.39,0.32,0.3872832369942196,0.14705882352941177,0.62,0.3872340425531915,0.2982456140350877,0.4482758620689655,0.3306878306878307,0.2857142857142857,0.31,0.5387096774193548,0.37438423645320196,0.46,0.6606060606060606,0.5959595959595959,0.6424870466321243,0.4,0.26666666666666666,0.3949579831932773,0.2582781456953642,0.6385321100917432,0.3055555555555556,0.6666666666666666,0.6540084388185654,0.5874439461883408,0.5648854961832062,0.5785123966942148,0.5185185185185185,0.558282208588957,0.4732142857142857,0.5922330097087378,0.7307692307692307,0.61,0.6526181353767561,0.5115606936416185,0.2435754189944134,0.4934640522875817,0.5401929260450161,0.5432098765432098,0.35106382978723405,0.3709256844850065,0.4375,0.45098039215686275,0.5181818181818182,0.5714285714285714,0.6616915422885572,0.69,0.3493975903614458,0.6491228070175439
mc_data_30k_from_platpus_orca_7b_10k_v1_lora_qkvo_rank14_v2,https://huggingface.co/xxyyy123/mc_data_30k_from_platpus_orca_7b_10k_v1_lora_qkvo_rank14_v2,xxyyy123/mc_data_30k_from_platpus_orca_7b_10k_v1_lora_qkvo_rank14_v2,7.0,0.5023777107763883,0.5426621160409556,0.6072495518820952,0.29,0.4740740740740741,0.506578947368421,0.44,0.5811320754716981,0.5625,0.37,0.35,0.28,0.4508670520231214,0.2647058823529412,0.63,0.4595744680851064,0.32456140350877194,0.45517241379310347,0.30158730158730157,0.25396825396825395,0.38,0.532258064516129,0.35467980295566504,0.38,0.7272727272727273,0.6363636363636364,0.7253886010362695,0.48717948717948717,0.24074074074074073,0.5084033613445378,0.31788079470198677,0.7192660550458716,0.4027777777777778,0.696078431372549,0.729957805907173,0.5381165919282511,0.5801526717557252,0.6776859504132231,0.6296296296296297,0.5337423312883436,0.36607142857142855,0.7184466019417476,0.7649572649572649,0.57,0.6922094508301405,0.5635838150289018,0.24916201117318434,0.5130718954248366,0.5787781350482315,0.5524691358024691,0.3475177304964539,0.3852672750977836,0.49264705882352944,0.4918300653594771,0.5909090909090909,0.5877551020408164,0.5671641791044776,0.7,0.40963855421686746,0.7017543859649122
test_qkvo_adptor,https://huggingface.co/xxyyy123/test_qkvo_adptor,xxyyy123/test_qkvo_adptor,,0.516437911474189,0.5349829351535836,0.6007767377016531,0.33,0.4888888888888889,0.4342105263157895,0.5,0.5849056603773585,0.5347222222222222,0.42,0.42,0.33,0.4682080924855491,0.28431372549019607,0.62,0.43829787234042555,0.30701754385964913,0.45517241379310347,0.32275132275132273,0.30952380952380953,0.38,0.5645161290322581,0.35467980295566504,0.46,0.7151515151515152,0.6363636363636364,0.7564766839378239,0.5282051282051282,0.2518518518518518,0.5252100840336135,0.304635761589404,0.7211009174311926,0.46296296296296297,0.7009803921568627,0.7088607594936709,0.5919282511210763,0.6259541984732825,0.6942148760330579,0.6481481481481481,0.5460122699386503,0.38392857142857145,0.6893203883495146,0.7649572649572649,0.64,0.7164750957854407,0.5549132947976878,0.23910614525139665,0.5359477124183006,0.5755627009646302,0.5524691358024691,0.39361702127659576,0.3767926988265971,0.4889705882352941,0.5,0.5818181818181818,0.636734693877551,0.582089552238806,0.7,0.3855421686746988,0.7134502923976608
test_merge_p_ov1_w0.66_w0.5_n1,https://huggingface.co/xxyyy123/test_merge_p_ov1_w0.66_w0.5_n1,xxyyy123/test_merge_p_ov1_w0.66_w0.5_n1,,0.5804702514135885,0.6015358361774744,0.6246763592909779,0.29,0.5111111111111111,0.5526315789473685,0.57,0.6075471698113207,0.6597222222222222,0.38,0.45,0.31,0.5722543352601156,0.3431372549019608,0.67,0.5106382978723404,0.3157894736842105,0.5448275862068965,0.3439153439153439,0.373015873015873,0.44,0.7,0.41379310344827586,0.56,0.7515151515151515,0.7626262626262627,0.8186528497409327,0.6128205128205129,0.3,0.5840336134453782,0.33774834437086093,0.7853211009174312,0.4212962962962963,0.8088235294117647,0.7552742616033755,0.6995515695067265,0.6717557251908397,0.7272727272727273,0.8148148148148148,0.6503067484662577,0.36607142857142855,0.7475728155339806,0.8504273504273504,0.59,0.7713920817369093,0.6271676300578035,0.3843575418994413,0.6143790849673203,0.6591639871382636,0.6975308641975309,0.4432624113475177,0.4361147327249022,0.5808823529411765,0.5882352941176471,0.6272727272727273,0.6653061224489796,0.7860696517412935,0.76,0.4819277108433735,0.7894736842105263
